lr,rv,,,,,,,,,,,,,,,,,,,,,
-0.062312834,0.139088795,,,,,,,,,,,,,,,,,,,,,
-0.359238273,0.153893565,,,,,,,,,,,,,,,,,,,,,
0.647018792,0.176837958,,,,,,,,,,,,,,,,,,,,,
0.113273883,0.08564896,,,,,,,,,,,,,,,,,,,,,
0.092715964,0.018801219,,,,,,,,,,,,,,,,,,,,,
-0.00218915,0.080598178,,,,,,,,,,,,,,,,,,,,,
0.411446796,0.093235415,,,,,,,,,,,,,,,,,,,,,
-0.225539936,0.061752243,,,,,,,,,,,,,,,,,,,,,
-0.064117045,0.103455164,,,,,,,,,,,,,,,,,,,,,
0.123825495,0.085503218,,,,,,,,,,,,,,,,,,,,,
0,0.002557388,,,,,,,,,,,,,,,,,,,,,
-0.021840419,0.079236945,,,,,,,,,,,,,,,,,,,,,
0.082240737,0.087322564,,,,,,,,,,,,,,,,,,,,,
-0.47326234,0.094399683,,,,,,,,,,,,,,,,,,,,,
0.184028971,0.118987974,,,,,,,,,,,,,,,,,,,,,
0.675513656,0.344968327,,,,,,,,,,,,,,,,,,,,,
-0.181336865,0.063247524,,,,,,,,,,,,,,,,,,,,,
-0.279903489,0.142433746,,,,,,,,,,,,,,,,,,,,,
0.046583739,0.128979347,,,,,,,,,,,,,,,,,,,,,
-0.076437854,0.141031212,,,,,,,,,,,,,,,,,,,,,
0.955987958,0.179188213,,,,,,,,,,,,,,,,,,,,,
0.086522036,0.125371131,,,,,,,,,,,,,,,,,,,,,
0.012971851,0.002839379,,,,,,,,,,,,,,,,,,,,,
-0.008647714,0.065433835,,,,,,,,,,,,,,,,,,,,,
-0.141351954,0.070873559,,,,,,,,,,,,,,,,,,,,,
0.331429122,0.082801287,,,,,,,,,,,,,,,,,,,,,
-0.268661501,0.267319544,,,,,,,,,,,,,,,,,,,,,
0.294553144,0.132472082,,,,,,,,,,,,,,,,,,,,,
0.022290211,0.006906707,,,,,,,,,,,,,,,,,,,,,
0.117121694,0.093876487,,,,,,,,,,,,,,,,,,,,,
0.028002657,0.152217993,,,,,,,,,,,,,,,,,,,,,
-0.800802916,0.191410654,,,,,,,,,,,,,,,,,,,,,
-0.286266307,0.132691546,,,,,,,,,,,,,,,,,,,,,
0.093579646,0.11054645,,,,,,,,,,,,,,,,,,,,,
0.039146888,0.011644486,,,,,,,,,,,,,,,,,,,,,
0.284441677,0.242689716,,,,,,,,,,,,,,,,,,,,,
-0.117876359,0.168731943,,,,,,,,,,,,,,,,,,,,,
-0.248501332,0.13946887,,,,,,,,,,,,,,,,,,,,,
-0.327689287,0.142540048,,,,,,,,,,,,,,,,,,,,,
0.062569119,0.139972112,,,,,,,,,,,,,,,,,,,,,
0.029088582,0.011862254,,,,,,,,,,,,,,,,,,,,,
0.151124379,0.154455606,,,,,,,,,,,,,,,,,,,,,
0.140746998,0.071321628,,,,,,,,,,,,,,,,,,,,,
